date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:19:46	2871/2871	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/robots.txt		(from )
09:19:47	79747/79747	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/index.html	(from )
09:19:48	107027/107027	---M-Z	200	added ('OK')	image/png	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/img2/WhatsApp_Image_2025-04-08_at_12.28.34-removebg-preview.png	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/img2/WhatsApp_Image_2025-04-08_at_12.28.34-removebg-preview.png	(from https://www.hminterio.in/)
09:19:49	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	C:/My%20Web%20Sites/JRDesigens/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://www.hminterio.in/)
09:19:49	63666/63666	---MCZ	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/My%20Web%20Sites/JRDesigens/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://www.hminterio.in/)
09:19:49	16964/16964	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/lib/animate/animate.min.css	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/lib/animate/animate.min.css	(from https://www.hminterio.in/)
09:19:49	2936/2936	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/lib/owlcarousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/lib/owlcarousel/assets/owl.carousel.min.css	(from https://www.hminterio.in/)
09:19:50	9058/9058	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css	(from https://www.hminterio.in/)
09:19:50	164031/164031	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/css/bootstrap.min.css	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/css/bootstrap.min.css	(from https://www.hminterio.in/)
09:19:50	9980/9980	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/css/style.css	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/css/style.css	(from https://www.hminterio.in/)
09:19:52	100032/100032	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c6e92df4d33d55a70a79b6a866fd4e1a%22	https://collectcdn.com/launcher.js	C:/My%20Web%20Sites/JRDesigens/collectcdn.com/launcher.js	(from https://www.hminterio.in/)
09:19:53	5709/5709	---M-Z	200	added ('OK')	image/png	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/img2/copy2.png	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/img2/copy2.png	(from https://www.hminterio.in/)
09:19:53	79747/79747	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/index.html	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/index-2.html	(from https://www.hminterio.in/)
09:19:53	82635/82635	---M-Z	200	added ('OK')	image/png	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/img2/logofinal12-removebg-preview.png	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/img2/logofinal12-removebg-preview.png	(from https://www.hminterio.in/)
09:19:54	30981/30981	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/about.html	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/about.html	(from https://www.hminterio.in/)
09:19:54	29752/29752	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/service.html	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/service.html	(from https://www.hminterio.in/)
09:19:54	25853/25853	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/feature.html	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/feature.html	(from https://www.hminterio.in/)
09:19:55	31251/31251	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/project.html	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/project.html	(from https://www.hminterio.in/)
09:19:55	26944/26944	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/appointment.html	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/appointment.html	(from https://www.hminterio.in/)
09:19:56	32104/32104	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/testimonial.html	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/testimonial.html	(from https://www.hminterio.in/)
09:19:56	27486/27486	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/contact.html	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/contact.html	(from https://www.hminterio.in/)
09:19:56	10622/10622	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/team.html	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/team.html	(from https://www.hminterio.in/)
09:19:57	118467/118467	---M-Z	200	added ('OK')	image/jpeg	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/img/carousel-1.jpg	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/img/carousel-1.jpg	(from https://www.hminterio.in/)
09:19:57	3179/3179	---M-Z	200	added ('OK')	image/png	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/img/icons/icon-2.png	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/img/icons/icon-2.png	(from https://www.hminterio.in/)
09:19:57	4141/4141	---M-Z	200	added ('OK')	image/png	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/img/icons/icon-3.png	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/img/icons/icon-3.png	(from https://www.hminterio.in/)
09:19:57	2487/2487	---M-Z	200	added ('OK')	image/png	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/img/icons/icon-4.png	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/img/icons/icon-4.png	(from https://www.hminterio.in/)
09:19:58	102526/102526	---M-Z	200	added ('OK')	text/css	etag:%22656632a7-54f3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/css/all.min.css	C:/My%20Web%20Sites/JRDesigens/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/css/all.min.css	(from https://www.hminterio.in/)
09:19:59	3125009/3125009	---M-Z	200	added ('OK')	image/jpeg	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/img2/alexandra-gornago-LrrADFcX80w-unsplash.jpg	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/img2/alexandra-gornago-LrrADFcX80w-unsplash.jpg	(from https://www.hminterio.in/)
09:20:00	2486333/2486333	---M-Z	200	added ('OK')	image/jpeg	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/img2/jason-briscoe-UV81E0oXXWQ-unsplash.jpg	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/img2/jason-briscoe-UV81E0oXXWQ-unsplash.jpg	(from https://www.hminterio.in/)
09:20:02	11715/11715	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/HMinterio_Brochure.pdf	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/HMinterio_Brochure.pdf	(from https://www.hminterio.in/)
09:20:03	23796015/23796015	---M-Z	200	added ('OK')	application/pdf	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/img2/HMinteriohyd.pdf	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/img2/HMinteriohyd.pdf	(from https://www.hminterio.in/)
09:20:03	35607/35607	---M-Z	200	added ('OK')	image/jpeg	date:Sat,%2017%20May%202025%2007:01:28%20GMT	https://www.hminterio.in/img/service-1.jpg	C:/My%20Web%20Sites/JRDesigens/www.hminterio.in/img/service-1.jpg	(from https://www.hminterio.in/)
